 ,Label,Area
1,Untitled:0256-0256,1089
2,Untitled:0004-0412,8
3,Untitled:0007-0100,14
4,Untitled:0022-0412,17
5,Untitled:0020-0256,40
6,Untitled:0032-0100,22
7,Untitled:0045-0412,16
8,Untitled:0062-0256,8
9,Untitled:0073-0100,6
10,Untitled:0073-0412,14
11,Untitled:0103-0256,27
12,Untitled:0119-0412,60
13,Untitled:0131-0100,46
14,Untitled:0163-0100,2
15,Untitled:0167-0256,46
16,Untitled:0194-0412,38
17,Untitled:0213-0256,23
18,Untitled:0203-0100,70
19,Untitled:0245-0256,11
20,Untitled:0250-0412,49
21,Untitled:0280-0100,41
22,Untitled:0283-0256,50
23,Untitled:0300-0412,37
24,Untitled:0340-0256,37
25,Untitled:0337-0100,51
26,Untitled:0354-0412,49
27,Untitled:0390-0412,7
28,Untitled:0396-0100,17
29,Untitled:0418-0412,32
30,Untitled:0413-0256,55
31,Untitled:0440-0412,3
32,Untitled:0455-0412,10
33,Untitled:0471-0256,41
34,Untitled:0460-0100,103
35,Untitled:0505-0256,14
36,Untitled:0499-0412,25
