 ,Label,Area
1,Untitled:0256-0256,1206
2,Untitled:0002-0412,5
3,Untitled:0012-0100,25
4,Untitled:0027-0412,30
5,Untitled:0045-0100,19
6,Untitled:0037-0256,75
7,Untitled:0072-0412,43
8,Untitled:0105-0256,39
9,Untitled:0107-0100,48
10,Untitled:0138-0256,11
11,Untitled:0156-0100,22
12,Untitled:0142-0412,80
13,Untitled:0192-0100,33
14,Untitled:0201-0412,16
15,Untitled:0228-0256,49
16,Untitled:0251-0100,60
17,Untitled:0259-0412,65
18,Untitled:0302-0100,14
19,Untitled:0299-0256,71
20,Untitled:0331-0100,24
21,Untitled:0330-0412,73
22,Untitled:0372-0100,37
23,Untitled:0414-0100,28
24,Untitled:0406-0412,57
25,Untitled:0451-0100,26
26,Untitled:0494-0100,36
27,Untitled:0428-0256,167
28,Untitled:0485-0412,53
