 ,Label,Area
1,Untitled:0256-0256,1327
2,Untitled:0005-0100,11
3,Untitled:0020-0412,22
4,Untitled:0031-0100,19
5,Untitled:0035-0256,70
6,Untitled:0069-0412,63
7,Untitled:0082-0100,67
8,Untitled:0128-0412,25
9,Untitled:0140-0100,35
10,Untitled:0167-0412,40
11,Untitled:0138-0256,116
12,Untitled:0182-0100,34
13,Untitled:0223-0412,57
14,Untitled:0239-0100,68
15,Untitled:0239-0256,69
16,Untitled:0270-0412,9
17,Untitled:0320-0100,75
18,Untitled:0333-0412,98
19,Untitled:0343-0256,120
20,Untitled:0412-0412,41
21,Untitled:0428-0100,121
22,Untitled:0505-0100,13
23,Untitled:0471-0256,82
24,Untitled:0476-0412,72
